City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
29,Kiunga,-6.1219,141.2906,88.39,61,76,3.51,PG,2021-01-16 01:09:33,broken clouds,0,0
30,Bereda,43.2686,-7.5406,35.01,100,100,3.0,ES,2021-01-16 01:09:33,overcast clouds,0,0
31,Walvis Bay,-22.9575,14.5053,71.01,82,17,2.3,NA,2021-01-16 01:09:33,few clouds,0,0
32,Puerto Cabezas,14.0351,-83.3888,74.71,87,1,4.85,NI,2021-01-16 01:09:33,clear sky,0,0
33,Ribeira Grande,38.5167,-28.7,61.2,85,15,8.46,PT,2021-01-16 01:09:33,few clouds,0,0
34,Bluff,-46.6,168.3333,73.0,63,16,8.99,NZ,2021-01-16 01:09:33,few clouds,0,0
35,Arraial Do Cabo,-22.9661,-42.0278,76.06,88,0,20.69,BR,2021-01-16 01:09:33,clear sky,0,0
36,Jalu,29.0331,21.5482,48.07,69,0,4.21,LY,2021-01-16 01:09:34,clear sky,0,0
37,Mataura,-46.1927,168.8643,73.0,63,0,8.99,NZ,2021-01-16 01:09:34,clear sky,0,0
38,Sechura,-5.5569,-80.8222,71.94,81,100,8.88,PE,2021-01-16 01:09:34,overcast clouds,0,0
39,Dikson,73.5069,80.5464,-32.49,79,88,4.54,RU,2021-01-16 01:09:34,overcast clouds,0,0
40,Provideniya,64.3833,-173.3,13.12,93,100,4.32,RU,2021-01-16 01:09:34,overcast clouds,0,0
41,Mahebourg,-20.4081,57.7,78.8,94,40,4.61,MU,2021-01-16 01:09:34,scattered clouds,0,0
42,Hobart,-42.8794,147.3294,64.0,44,40,10.36,AU,2021-01-16 01:07:59,scattered clouds,0,0
43,Mogadishu,2.0371,45.3438,76.33,86,1,18.32,SO,2021-01-16 01:09:34,clear sky,0,0
44,Port Alfred,-33.5906,26.891,68.0,86,0,5.99,ZA,2021-01-16 01:09:34,light rain,0,0
45,Ottawa,45.4112,-75.6981,33.01,80,90,16.11,CA,2021-01-16 01:09:34,overcast clouds,0,0
46,Odweyne,9.4092,45.064,62.08,31,61,10.96,SO,2021-01-16 01:09:34,broken clouds,0,0
47,Tuktoyaktuk,69.4541,-133.0374,-14.8,84,75,18.41,CA,2021-01-16 01:09:35,snow,0,0
48,Tasiilaq,65.6145,-37.6368,32.0,93,90,13.8,GL,2021-01-16 01:09:35,light snow,0,0
49,Brae,60.3964,-1.353,42.8,75,75,32.21,GB,2021-01-16 01:09:35,broken clouds,0,0
50,Chokurdakh,70.6333,147.9167,-5.08,91,100,11.39,RU,2021-01-16 01:09:35,overcast clouds,0,0
51,Busselton,-33.65,115.3333,70.0,57,0,7.0,AU,2021-01-16 01:09:35,clear sky,0,0
52,Magdeburg,52.1667,11.6667,30.0,69,10,5.99,DE,2021-01-16 01:09:18,clear sky,0,0
53,Anadyr,64.75,177.4833,-4.0,84,75,13.42,RU,2021-01-16 01:09:35,snow,0,0
54,Okha,53.5739,142.9478,-12.98,86,0,10.49,RU,2021-01-16 01:09:35,clear sky,0,0
55,Barguzin,53.6167,109.6167,-6.54,82,82,7.47,RU,2021-01-16 01:09:35,broken clouds,0,0
56,Punta Arenas,-53.15,-70.9167,55.0,87,20,11.5,CL,2021-01-16 01:09:35,few clouds,0,0
57,Laguna,38.421,-121.4238,61.0,72,1,8.05,US,2021-01-16 01:09:35,haze,0,0
58,Xiantao,30.3833,113.4,42.78,62,94,14.74,CN,2021-01-16 01:09:35,overcast clouds,0,0
59,Pisco,-13.7,-76.2167,69.8,83,0,18.41,PE,2021-01-16 01:09:36,clear sky,0,0
60,Yenagoa,4.9247,6.2642,75.79,90,0,4.68,NG,2021-01-16 01:09:36,clear sky,0,0
61,Kopervik,59.2835,5.3067,30.99,93,90,5.75,NO,2021-01-16 01:09:36,overcast clouds,0,0
62,Tiksi,71.6872,128.8694,-12.17,90,100,6.26,RU,2021-01-16 01:09:36,overcast clouds,0,0
63,Geraldton,-28.7667,114.6,89.6,33,0,28.77,AU,2021-01-16 01:09:36,clear sky,0,0
64,Albany,42.6001,-73.9662,39.99,76,100,11.48,US,2021-01-16 01:07:03,overcast clouds,0,0
65,Saint-Philippe,-21.3585,55.7679,77.0,83,20,3.44,RE,2021-01-16 01:09:36,few clouds,0,0
66,Boone,39.0334,-92.3335,33.01,81,100,7.0,US,2021-01-16 01:09:36,overcast clouds,0,0
67,Faanui,-16.4833,-151.75,81.54,75,0,12.71,PF,2021-01-16 01:09:36,light rain,0,0
