City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Zonguldak,TR,2021-01-15 23:50:03,41.25,31.8333,24.35,97,21,2.59
142,Outjo,NA,2021-01-15 23:50:03,-20.1167,16.15,63.72,82,19,12.97
143,Namibe,AO,2021-01-15 23:50:03,-15.1961,12.1522,73.38,69,0,7.38
144,Linhares,BR,2021-01-15 23:50:03,-19.3911,-40.0722,72.27,92,9,1.68
145,Tura,IN,2021-01-15 23:50:03,25.5198,90.2201,54.73,58,5,2.42
146,Tamandare,BR,2021-01-15 23:50:04,-8.7597,-35.1047,76.64,79,97,7.14
147,Barcelos,PT,2021-01-15 23:50:04,41.5388,-8.6151,44.01,100,20,4.61
148,Idil,TR,2021-01-15 23:50:04,37.3411,41.8895,42.1,88,82,6.98
149,Harper,LR,2021-01-15 23:50:04,4.375,-7.7169,77.79,86,45,8.32
150,Comodoro Rivadavia,AR,2021-01-15 23:50:05,-45.8667,-67.5,60.8,77,40,6.91
151,Thompson,CA,2021-01-15 23:50:06,55.7435,-97.8558,6.8,78,75,4.61
152,Dali,CN,2021-01-15 23:50:06,25.7,100.1833,38.14,78,90,2.24
153,Dunedin,NZ,2021-01-15 23:50:06,-45.8742,170.5036,66.0,79,78,8.01
154,Saint-Pierre,RE,2021-01-15 23:50:07,-21.3393,55.4781,78.8,83,0,5.75
155,Moyo,UG,2021-01-15 23:50:07,3.6609,31.7247,78.01,26,93,3.06
156,Seydi,TM,2021-01-15 23:50:07,39.4816,62.9137,46.49,50,45,11.65
157,Ahuimanu,US,2021-01-15 23:50:07,21.4447,-157.8378,82.0,69,20,9.22
158,Aqtobe,KZ,2021-01-15 23:50:07,50.2797,57.2072,23.0,74,0,11.18
159,Itoman,JP,2021-01-15 23:50:07,26.1247,127.6694,68.0,77,20,11.5
160,Yulara,AU,2021-01-15 23:50:08,-25.2406,130.9889,64.4,72,90,6.91
161,Puerto El Triunfo,SV,2021-01-15 23:50:08,13.2833,-88.55,89.6,48,0,2.3
162,San Ignacio,BZ,2021-01-15 23:50:08,17.1561,-89.0714,80.6,74,40,6.91
163,Pisco,PE,2021-01-15 23:50:08,-13.7,-76.2167,73.4,78,90,18.41
164,Mareeba,AU,2021-01-15 23:50:08,-17.0,145.4333,86.0,61,89,4.61
165,Bethel,US,2021-01-15 23:50:08,41.3712,-73.414,39.99,81,90,9.22
166,Adre,TD,2021-01-15 23:50:08,13.4667,22.2,60.84,31,0,11.88
167,Tasiilaq,GL,2021-01-15 23:50:08,65.6145,-37.6368,32.0,93,90,10.36
168,Chokurdakh,RU,2021-01-15 23:50:08,70.6333,147.9167,-6.02,91,100,10.31
169,Nkhata Bay,MW,2021-01-15 23:50:08,-11.6066,34.2907,74.19,79,100,11.07
170,Inhambane,MZ,2021-01-15 23:46:14,-23.865,35.3833,80.51,83,50,8.16
171,Kaitangata,NZ,2021-01-15 23:50:09,-46.2817,169.8464,64.99,77,29,11.01
172,Strezhevoy,RU,2021-01-15 23:50:09,60.7333,77.5889,6.8,85,75,13.42
173,Hofn,IS,2021-01-15 23:50:09,64.2539,-15.2082,40.39,93,100,22.86
174,Lorengau,PG,2021-01-15 23:50:09,-2.0226,147.2712,84.76,76,73,13.6
175,Baker City,US,2021-01-15 23:50:09,44.7749,-117.8344,39.2,60,90,4.61
176,Nampula,MZ,2021-01-15 23:50:09,-15.1165,39.2666,77.0,88,40,5.75
177,Plattsburgh,US,2021-01-15 23:50:09,44.6995,-73.4529,34.0,86,1,5.75
178,Saint Anthony,US,2021-01-15 23:47:40,45.0205,-93.218,35.6,87,90,10.36
179,Lac Du Bonnet,CA,2021-01-15 23:50:10,50.2536,-96.0612,14.0,100,100,11.99
180,San Jose,US,2021-01-15 23:50:05,37.3394,-121.895,71.01,43,75,10.36
181,Lasa,IT,2021-01-15 23:46:20,46.6166,10.7002,23.0,85,0,6.91
182,Bardiyah,LY,2021-01-15 23:50:09,31.7561,25.0865,57.13,73,7,18.92
183,Ust-Ilimsk,RU,2021-01-15 23:50:10,58.0006,102.6619,-27.69,84,91,2.95
184,Kaeo,NZ,2021-01-15 23:50:10,-35.1,173.7833,73.35,48,39,6.26
185,Waggaman,US,2021-01-15 23:50:10,29.9185,-90.2109,57.2,21,1,21.85
186,Qasigiannguit,GL,2021-01-15 23:50:11,68.8193,-51.1922,14.0,62,90,14.97
187,Goderich,CA,2021-01-15 23:50:11,43.7501,-81.7165,35.6,87,100,11.5
188,Adelaide,AU,2021-01-15 23:49:52,-34.9333,138.6,66.99,45,40,12.66
189,Tessalit,ML,2021-01-15 23:46:22,20.1986,1.0114,57.33,30,97,11.99
190,Halifax,CA,2021-01-15 23:49:32,44.6453,-63.5724,32.0,74,3,5.75
191,Lufilufi,WS,2021-01-15 23:50:11,-13.8745,-171.5986,87.8,79,40,16.11
192,Pundaguitan,PH,2021-01-15 23:50:11,6.3711,126.1689,82.51,76,62,6.53
193,Montecorvino Rovella,IT,2021-01-15 23:50:11,40.6918,14.978,44.01,68,92,11.01
194,Ligayan,PH,2021-01-15 23:50:11,4.6533,119.4706,81.59,78,27,8.88
195,Kutum,SD,2021-01-15 23:50:11,14.2,24.6667,51.49,43,0,6.78
196,Ngunguru,NZ,2021-01-15 23:50:11,-35.6167,174.5,70.41,61,19,8.61
197,Bac Lieu,VN,2021-01-15 23:50:12,9.285,105.7244,73.51,85,25,9.8
198,Talara,PE,2021-01-15 23:47:11,-4.5772,-81.2719,73.09,80,100,11.05
199,Atar,MR,2021-01-15 23:50:12,20.5169,-13.0499,61.63,27,100,13.22
200,Tobermory,CA,2021-01-15 23:50:12,45.2501,-81.6665,39.2,81,100,18.41
201,Ketchikan,US,2021-01-15 23:47:08,55.3422,-131.6461,42.8,87,90,4.61
202,Stoholm,DK,2021-01-15 23:50:12,56.4845,9.1462,24.01,93,0,1.14
203,Hasaki,JP,2021-01-15 23:46:49,35.7333,140.8333,43.0,87,20,3.44
204,Souillac,MU,2021-01-15 23:50:12,-20.5167,57.5167,78.8,94,40,6.91
205,Touros,BR,2021-01-15 23:50:12,-5.1989,-35.4608,78.8,78,0,8.05
206,Shenjiamen,CN,2021-01-15 23:50:13,29.9576,122.298,44.22,78,96,21.05
207,Alice Springs,AU,2021-01-15 23:50:13,-23.7,133.8833,77.0,20,24,20.71
208,Hall,US,2021-01-15 23:50:13,34.3168,-83.7832,46.4,29,40,6.91
209,Redmond,US,2021-01-15 23:45:32,47.674,-122.1215,52.0,82,60,2.37
210,Kishi,NG,2021-01-15 23:50:13,9.0833,3.85,72.23,20,0,2.51
211,Henties Bay,NA,2021-01-15 23:50:13,-22.116,14.2845,71.01,82,72,4.41
212,Aasiaat,GL,2021-01-15 23:50:13,68.7098,-52.8699,5.38,93,78,4.45
213,Mount Isa,AU,2021-01-15 23:50:13,-20.7333,139.5,91.4,19,13,13.8
214,Ballina,AU,2021-01-15 23:47:15,-28.8667,153.5667,84.2,61,35,9.22
215,Bull Savanna,JM,2021-01-15 23:47:16,17.8868,-77.5902,73.29,87,60,8.72
216,Lohne,DE,2021-01-15 23:50:14,52.6667,8.2333,32.0,86,86,1.99
217,Nanakuli,US,2021-01-15 23:50:14,21.3906,-158.1547,84.2,54,20,14.97
218,Gushikawa,JP,2021-01-15 23:50:14,26.3544,127.8686,68.0,94,1,5.75
219,Coffs Harbour,AU,2021-01-15 23:50:14,-30.3,153.1333,77.0,53,7,16.11
220,Brenham,US,2021-01-15 23:50:14,30.1669,-96.3977,57.2,19,1,14.97
221,Ribeira Grande,PT,2021-01-15 23:46:05,38.5167,-28.7,61.29,85,6,10.63
222,Sao Luiz Gonzaga,BR,2021-01-15 23:48:15,-28.4083,-54.9608,80.74,65,95,9.93
223,Bengkulu,ID,2021-01-15 23:50:15,-3.8004,102.2655,75.81,79,83,4.18
224,Sechura,PE,2021-01-15 23:48:06,-5.5569,-80.8222,71.46,83,100,9.01
225,Prado,BR,2021-01-15 23:50:15,-17.3411,-39.2208,75.97,89,99,6.96
226,Zhezkazgan,KZ,2021-01-15 23:50:15,47.8043,67.7144,7.07,89,100,12.73
227,Bayeux,BR,2021-01-15 23:45:24,-7.125,-34.9322,78.8,83,20,8.05
228,San Ramon,US,2021-01-15 23:49:20,37.7799,-121.978,68.0,45,1,12.66
229,Ankang,CN,2021-01-15 23:50:15,32.68,109.0172,40.24,63,99,3.62
230,Sicuani,PE,2021-01-15 23:50:15,-14.2694,-71.2261,48.78,77,100,4.92
231,Gat,IL,2021-01-15 23:50:05,31.61,34.7642,52.0,85,0,5.77
232,Inirida,CO,2021-01-15 23:50:16,3.8653,-67.9239,75.47,94,75,2.35
233,Sabha,LY,2021-01-15 23:48:16,27.0377,14.4283,47.71,50,0,6.15
234,Pedernales,DO,2021-01-15 23:50:16,18.0384,-71.744,77.04,71,70,2.19
235,Viedma,AR,2021-01-15 23:50:16,-40.8135,-62.9967,68.0,66,9,13.76
236,Maceio,BR,2021-01-15 23:50:16,-9.6658,-35.7353,75.2,88,40,3.44
237,Coahuayana,MX,2021-01-15 23:47:19,18.7333,-103.6833,82.4,42,75,3.06
238,Selje,NO,2021-01-15 23:50:16,62.0459,5.351,26.01,82,0,1.99
239,Kahului,US,2021-01-15 23:50:16,20.8947,-156.47,86.0,48,20,6.91
