City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
473,Barong,PH,77.0,few clouds,18.0576,120.734,Stone House Hostel - Medardus
477,Berbera,SO,72.48,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
478,Biak,ID,81.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
479,Madingou,CG,73.13,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
482,San Agustin,MX,73.4,broken clouds,20.5333,-103.4667,Motel Garden
485,Tulum,MX,77.0,broken clouds,20.2167,-87.4667,Kin Ha Tulum
486,Santa Fe,AR,71.01,broken clouds,-31.6333,-60.7,Conquistador Hotel
487,Trinidad,BO,76.21,overcast clouds,-14.8333,-64.9,Hotel Piesta
488,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
490,Marsh Harbour,BS,74.52,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
492,Azul,AR,75.0,clear sky,-36.777,-59.8585,Cabañas Dulcinea
494,Nokaneng,BW,70.79,light rain,-19.6667,22.2667,
496,Piracuruca,BR,76.59,overcast clouds,-3.9281,-41.7092,Pousada Piracuruca
498,Ballina,AU,84.2,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
499,Ibipeba,BR,71.37,broken clouds,-11.6408,-42.0111,Quitanda santos
500,Sao Joao Da Barra,BR,76.33,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
505,Sweetwater,US,71.6,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
506,Tecoanapa,MX,78.28,overcast clouds,16.5167,-98.75,Hotel Manglares
509,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
515,Port-Gentil,GA,79.84,clear sky,-0.7193,8.7815,Fengshui Residence
517,Mayor Pablo Lagerenza,PY,79.74,few clouds,-19.9309,-60.7718,
519,Dubreka,GN,72.91,clear sky,9.7911,-13.5233,Hôtel le Semeur Chez Eva
520,Hualmay,PE,70.36,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
521,Saint-Joseph,RE,77.0,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
522,Bandarbeyla,SO,73.26,scattered clouds,9.4942,50.8122,JABIR HOTEL
535,Rio Grande,BR,77.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
537,Lagos,NG,78.12,broken clouds,6.5833,3.75,
544,Tabou,CI,77.72,light rain,4.423,-7.3528,hotêl doufoulougou
546,Tual,ID,84.6,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
550,Campo Maior,BR,79.75,overcast clouds,-4.8278,-42.1686,Elite Hotel
551,Nsoko,SZ,72.75,clear sky,-27.0333,31.95,
554,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
558,Manta,EC,78.8,broken clouds,-0.95,-80.7333,Balandra Hotel
560,Vanimo,PG,85.08,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
561,Bac Lieu,VN,75.87,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
562,Pedernales,DO,77.22,few clouds,18.0384,-71.744,Hotel Costa Marina
565,Parrita,CR,71.6,clear sky,9.5201,-84.3225,Beso del Viento
568,Cururupu,BR,75.49,few clouds,-1.8283,-44.8683,Pousada Través'cia
569,Karratha,AU,92.59,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
571,Noumea,NC,86.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
572,Kailua,US,82.4,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
574,Hambantota,LK,73.4,overcast clouds,6.1241,81.1185,Bungalow 63
577,Zwedru,LR,71.17,scattered clouds,6.0667,-8.1281,Elijah Worjloh
581,Sainte-Marie,RE,77.0,scattered clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
584,Juan Diaz,PA,82.0,broken clouds,8.4667,-80.2833,en panadas de carlitos
586,Meulaboh,ID,78.28,few clouds,4.1363,96.1285,Kost Pria
592,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
595,Santa Maria,BR,80.6,few clouds,-29.6842,-53.8069,Hotel Morotin
596,San Ignacio,BZ,75.2,light rain,17.1561,-89.0714,Rainforest Haven Inn
608,Nabire,ID,83.86,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
609,Buala,SB,85.82,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
611,Isabela,PH,80.6,broken clouds,6.7085,121.9711,Isawad Resort
627,Acari,PE,72.03,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
632,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
639,Nobres,BR,75.27,heavy intensity rain,-14.7203,-56.3275,Eloáh Agência de Turismo
641,Lithgow,AU,75.99,clear sky,-33.4833,150.15,Zig Zag Motel
642,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
649,Dalby,AU,90.0,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
